bus_id,grid_cell
IN167-765,IND_863
way/196563905-765,IND_1158
IN748-765,IND_777
IN267-765,IND_1012
IN215-765,IND_78
IN199-765,IND_118
IN194-765,IND_118
IN809-765,IND_708
IN808-765,IND_708
IN806-765,IND_708
IN146-765,IND_393
IN138-765,IND_626
IN140-765,IND_626
IN94-765,IND_507
IN302-765,IND_1107
IN269-765,IND_1047
IN258-765,IND_1012
IN232-765,IND_971
IN257-765,IND_1012
IN217-765,IND_971
IN198-765,IND_921
IN183-765,IND_921
IN175-765,IND_921
IN128-765,IND_807
IN125-765,IND_807
IN121-765,IND_807
way/116541259-400,IND_1396
way/203673991-400,IND_1510
way/239498664-400,IND_1426
way/374367235-400,IND_1481
way/375084335-400,IND_1546
way/375941438-400,IND_1557
way/439006823-400,IND_1508
way/465787206-400,IND_1426
way/610646823-400,IND_1486
way/1072445901-400,IND_1479
way/1099365556-400,IND_1540
way/1099365579-400,IND_1542
way/1265489491-400,IND_1448
way/1265496720-400,IND_1529
IN177-400,IND_1545
IN440-400,IND_1443
IN235-400,IND_1416
IN265-400,IND_1448
IN145-400,IND_1559
IN176-400,IND_1545
IN260-400,IND_1461
IN386-400,IND_1457
way/50885643-400,IND_1232
way/92360278-400,IND_1292
way/92994753-400,IND_1291
way/93160503-400,IND_1367
way/94199110-400,IND_1308
way/96821783-400,IND_1290
way/97392607-400,IND_1230
way/118228036-400,IND_1336
way/149822703-400,IND_1304
way/166692103-400,IND_1189
way/205942950-400,IND_1353
way/209806624-400,IND_1270
way/209806650-400,IND_1305
way/324059200-400,IND_1229
way/324064297-400,IND_1377
way/409798382-400,IND_1161
way/485873934-400,IND_1309
way/485873968-400,IND_1324
way/526897229-400,IND_1380
way/577176545-400,IND_1229
way/923418232-400,IND_1248
way/1012817818-400,IND_1274
way/1015325412-400,IND_1268
way/1044735753-400,IND_1290
way/1238123371-400,IND_1293
way/1341647644-400,IND_1341
IN290-400,IND_1186
IN287-400,IND_1308
IN286-400,IND_1308
IN363-400,IND_1288
IN285-400,IND_1291
IN353-400,IND_1269
IN317-400,IND_1230
IN259-400,IND_1380
IN325-400,IND_1352
IN341-400,IND_1270
IN315-400,IND_1353
IN155-400,
IN263-400,IND_1341
IN336-400,IND_1377
IN320-400,IND_1378
IN339-400,IND_1365
IN179-400,IND_1311
IN181-400,IND_1311
IN262-400,IND_1341
way/1078426593-765,IND_0
way/1078426593-765,IND_1
way/1078426593-765,IND_2
way/1336628403-765,IND_3
way/1078426593-765,IND_4
way/1078426593-765,IND_5
way/1078426593-765,IND_6
way/1336628403-765,IND_8
way/1336628403-765,IND_9
way/1078426593-765,IND_10
way/1078426593-765,IND_11
way/1078426593-765,IND_12
way/1078426593-765,IND_13
way/1336628403-765,IND_15
way/1001700959-765,IND_17
way/1001700959-765,IND_18
way/1001700959-765,IND_19
way/688672711-765,IND_20
way/688672711-765,IND_21
way/688672711-765,IND_22
way/688672711-765,IND_23
way/688672711-765,IND_24
way/688672711-765,IND_25
way/688672711-765,IND_26
way/1336628403-765,IND_27
way/1001700959-765,IND_28
way/1001700959-765,IND_29
way/1001700959-765,IND_30
way/1001700959-765,IND_31
way/1001700959-765,IND_32
way/1127651311-765,IND_33
way/1127651311-765,IND_34
way/1127651311-765,IND_35
way/1127651311-765,IND_36
way/1127651311-765,IND_37
way/1127651311-765,IND_38
way/1127651311-765,IND_39
way/1127651311-765,IND_40
way/1127651311-765,IND_41
IN218-765,IND_42
IN218-765,IND_43
way/1001700959-765,IND_44
way/1001700959-765,IND_45
way/1001700959-765,IND_46
way/1001700959-765,IND_47
way/1127651311-765,IND_48
way/1127651311-765,IND_49
way/1127651311-765,IND_50
way/1127651311-765,IND_51
way/1127651311-765,IND_52
way/1127651311-765,IND_53
way/1127651311-765,IND_55
way/1127651311-765,IND_56
way/688672798-765,IND_57
IN218-765,IND_58
IN218-765,IND_59
IN218-765,IND_60
way/1001700959-765,IND_61
way/1001700959-765,IND_62
way/1001700959-765,IND_63
way/1001700959-765,IND_64
way/473902678-765,IND_65
way/1127651311-765,IND_66
way/1127651311-765,IND_67
way/1127651311-765,IND_68
way/1127651311-765,IND_69
way/1127651311-765,IND_70
way/1127651311-765,IND_71
way/1127651311-765,IND_72
way/688672798-765,IND_73
way/688672798-765,IND_74
way/688672798-765,IND_75
IN218-765,IND_76
IN218-765,IND_77
way/1001700959-765,IND_79
IN187-765,IND_80
way/686891085-765,IND_81
way/473902678-765,IND_82
way/331275940-765,IND_83
way/331275940-765,IND_84
way/331275940-765,IND_85
way/1127651311-765,IND_86
way/1127651311-765,IND_87
way/688672798-765,IND_88
way/688672798-765,IND_89
way/688672798-765,IND_90
way/688672798-765,IND_91
way/688672798-765,IND_92
IN218-765,IND_93
IN215-765,IND_94
IN215-765,IND_95
way/686891085-765,IND_97
way/686891085-765,IND_98
way/686891085-765,IND_99
way/331275940-765,IND_105
way/331275940-765,IND_106
way/331275940-765,IND_107
way/331275940-765,IND_108
way/688672798-765,IND_109
way/688672798-765,IND_110
way/688672798-765,IND_111
way/688672798-765,IND_113
way/688672798-765,IND_114
IN199-765,IND_115
IN199-765,IND_116
IN199-765,IND_117
way/686891085-765,IND_120
way/1143180503-765,IND_121
way/1143180503-765,IND_122
way/473902678-765,IND_127
way/473902678-765,IND_128
way/473902678-765,IND_129
way/473902678-765,IND_130
way/473902678-765,IND_131
way/331275940-765,IND_132
way/331275940-765,IND_133
way/331275940-765,IND_134
way/331275940-765,IND_135
way/331275940-765,IND_136
way/688672798-765,IND_137
way/688672798-765,IND_138
way/688672798-765,IND_139
way/688672798-765,IND_140
way/688672798-765,IND_141
IN199-765,IND_142
IN194-765,IND_143
IN191-765,IND_144
